Flight_Nr,23,Cost,1175.836910074239
Long,Lat,Flight_Level,Time
-30,56,290,06:20:00
-29.5,56.00000000000001,293.8847010918315,06:22:59
-29.0,56.00000000000001,297.62640692712193,06:25:58
-28.5,56.00000000000001,301.2251175058716,06:28:57
-28.0,56.00000000000001,304.6808328280803,06:31:56
-27.5,56.00000000000001,307.9935528937481,06:34:55
-27.0,56.00000000000001,311.16327770287506,06:37:55
-26.5,56.0,314.19000725546124,06:40:56
-26.0,56.00000000000001,317.0737415515065,06:43:56
-25.5,55.99999999999999,319.81448059101086,06:46:57
-25.0,56.00000000000001,322.41222437397437,06:49:58
-24.5,55.99999999999999,324.86697290039695,06:52:59
-24.0,56.0,327.17872617027876,06:55:59
-23.5,55.99999999999999,329.34748418361966,06:58:59
-23.0,56.00000000000001,331.3732469404197,07:02:01
-22.5,56.0,333.25601444067877,07:05:03
-22.0,56.00000000000001,334.9957866843971,07:08:06
-21.5,56.0,336.5925636715746,07:11:08
-21.0,56.0,338.04634540221105,07:14:10
-20.5,55.99999999999999,339.35713187630677,07:17:12
-20.0,55.99999999999999,340.5249230938616,07:20:15
-19.5,56.0,341.5497190548755,07:23:17
-19.0,56.0,342.4315197593486,07:26:19
-18.5,55.99999999999999,343.1703252072808,07:29:21
-18.0,55.99999999999999,343.7661353986722,07:32:24
-17.5,55.99999999999999,344.21895033352257,07:35:26
-17.0,56.0,344.5287700118322,07:38:28
-16.5,56.0,344.6955944336009,07:41:30
-16.0,56.0,344.71942359882877,07:44:33
-15.5,55.999999999999986,344.6002575075158,07:47:35
-15.0,56.0,344.33809615966186,07:50:37
-14.5,55.99999999999999,343.93293955526707,07:53:39
-14.0,56.0,343.3847876943315,07:56:41
-13.5,56.0,342.693640576855,07:59:43
-13.0,56.0,341.8594982028376,08:02:46
-12.5,56.0,340.88236057227937,08:05:49
-12.0,56.0,339.7622276851803,08:08:51
-11.5,55.99999999999999,338.6525084900725,08:11:53
-11.0,55.999999999999986,337.7066119354879,08:14:55
-10.5,55.999999999999986,336.92453802142677,08:17:57
-10.0,56.0,336.306286747889,08:20:59
-9.5,56.0,335.8518581148744,08:24:01
-9.0,55.999999999999986,335.5612521223833,08:27:03
-8.5,56.0,335.43446877041555,08:30:05
-8.0,55.99999999999999,335.4715080589711,08:33:08
-7.5,56.0,335.67236998805004,08:36:10
-7.0,56.0,336.03705455765237,08:39:12
-6.5,55.99999999999999,336.565561767778,08:42:14
-6.0,55.99999999999999,337.2578916184269,08:45:16
-5.5,56.0,338.1140441095992,08:48:18
-5.0,55.999999999999986,339.13401924129494,08:51:20
-4.5,55.99999999999998,340.31781701351395,08:54:23
-4.0,55.99999999999999,341.6654374262563,08:57:25
-3.5,55.999999999999986,343.1768804795221,09:00:27
-3.0,55.99999999999999,344.8521461733111,09:03:29
-2.5,55.99999999999999,346.69123450762356,09:06:31
-2.0,55.999999999999986,348.69414548245925,09:09:33
-1.5,55.99999999999999,350.8608790978184,09:12:37
-1.0,55.99999999999998,353.19143535370085,09:15:41
-0.5,55.99999999999998,355.6858142501067,09:18:45
0.0,55.99999999999999,358.34401578703586,09:21:48
0.5,55.999999999999986,360.94899648700357,09:24:52
1.0,55.999999999999986,363.283712872525,09:27:56
1.5,55.999999999999986,365.34816494360007,09:31:00
2.0,56.0,367.14235270022886,09:34:04
2.5,55.999999999999986,368.6662761424115,09:37:08
3.0,55.99999999999999,369.91993527014773,09:40:12
3.5,55.99999999999999,370.90333008343777,09:43:16
4.0,55.99999999999999,371.6164605822814,09:46:20
4.5,55.999999999999986,372.0593267666788,09:49:23
5.0,55.999999999999986,372.23192863662996,09:52:27
5.5,55.99999999999999,372.13426619213476,09:55:31
6.0,55.999999999999986,371.76633943319325,09:58:35
6.5,55.999999999999986,371.12814835980555,10:01:39
7.0,55.999999999999986,370.21969297197154,10:04:43
7.5,55.999999999999986,369.0409732696913,10:07:47
8.0,55.99999999999998,367.5919892529646,10:10:51
8.5,55.999999999999986,365.8727409217917,10:13:55
9.0,55.99999999999999,363.88322827617253,10:16:58
9.5,55.99999999999999,361.6234513161071,10:20:02
10.0,55.99999999999999,359.0934100415954,10:23:06
10.5,55.99999999999999,356.29310445263735,10:26:10
11.0,55.99999999999999,353.22253454923305,10:29:14
11.5,56.0,349.8817003313825,10:32:16
12.0,55.999999999999986,346.2706017990855,10:35:18
12.5,55.99999999999999,342.62758569526346,10:38:20
13.0,55.99999999999999,339.19099876283707,10:41:22
13.5,55.99999999999999,335.9608410018065,10:44:24
14.0,56.00000000000001,332.9371124121717,10:47:26
14.5,56.0,330.11981299393267,10:50:28
15.0,55.999999999999986,327.5089427470894,10:53:29
15.5,56.0,325.10450167164197,10:56:30
16.0,55.999999999999986,322.90648976759024,10:59:31
16.5,56.0,320.9149070349343,11:02:32
17.0,55.99999999999999,319.12975347367416,11:05:33
17.5,55.999999999999986,317.5510290838098,11:08:34
18.0,55.99999999999999,316.1787338653412,11:11:35
18.5,55.999999999999986,315.0128678182683,11:14:35
19.0,56.0,314.0534309425913,11:17:35
19.5,55.99999999999999,313.30042323831003,11:20:35
20.0,56.0,312.75384470542457,11:23:35
20.5,56.0,312.4136953439349,11:26:35
21.0,55.99999999999999,312.2799751538409,11:29:35
